ID,Username,Text,Created At,Retweets,Likes,Replies
1955781132345356571,@yyara1l,"اختي قالت عندي فلوس قلت يلا افتح هنقرستيشن؟ قالت برا وصكي الباب
يسلمووو",Wed Aug 13 23:58:53 +0000 2025,0,3,0
1955779711730376742,@lav_ee4,"@HungerStation هنقرشتين م عاد لنا تعامل معاكم 
حظرتو حسابي وفيه رصيد 50😭😭😭😭😭✋🏻",Wed Aug 13 23:53:14 +0000 2025,0,0,0
1955778872064057481,@Jji_o0,"@LASTONEFR7 @Dr_Wafy طيب منى ليه ماتشرين بخصم هنقرستيشن اللي يخصم لك على الطلب ٢٠ ريال 
بس تروحين تستلمينه",Wed Aug 13 23:49:54 +0000 2025,0,0,2
1955777347543581055,@HsnTym422,@rym922056772863 @HungerStation كذابه,Wed Aug 13 23:43:50 +0000 2025,0,0,0
1955775829230719194,@HAMETTOO,@0Lazx1 @Keetaglobal_ksa وعلى فكرة المبلغ ماراح يرجع بحسابك البنكي ، بيرجع برصيد محفظة بالتطبيق نفسه ، تستخدمه مثل نظام هنقرستيشن للأسف,Wed Aug 13 23:37:48 +0000 2025,0,0,0
1955772758396203456,@Senyora222,"@HungerStation الجواب هو: 
.
.
SPF
.

@RareJewel777",Wed Aug 13 23:25:36 +0000 2025,0,0,0
1955772481140080791,@Senyora222,"@HungerStation الجواب هو: 
.
SPF
.

@RareJewel777",Wed Aug 13 23:24:30 +0000 2025,0,0,0
1955771576437157947,@sarahsgoIden,ابشركم طلبت من هنقرستيشن الديرة اخيرا لحقت بالوقت وبس تأخر ساعة وقدر يطلع للجبل بدون مصايب 👌🏼👌🏼👌🏼👌🏼👌🏼,Wed Aug 13 23:20:54 +0000 2025,0,0,0
1955765525428240816,@ThatButterflyN,"@HungerStation الجواب هو: 
.
SPF
.

@RareJewel777",Wed Aug 13 22:56:52 +0000 2025,0,0,0
1955763919060132162,@MHSH43,@HungerStation ردو,Wed Aug 13 22:50:29 +0000 2025,0,0,1
1955763530386563171,@justrabehsaqer,أعشق هنقرستيشن وسرعتهم بالتعويضات,Wed Aug 13 22:48:56 +0000 2025,0,1,1
1955763215025230229,@baraa4244,@HungerStation بأي حق يتم خصم مبلغ اشتراك من هنقرستيشن دون علمي أو إشعاري بالتجديد؟ وأتواصل معهم في التطبيق ويتم تحويلي ولا أحد يرد علي.,Wed Aug 13 22:47:41 +0000 2025,0,0,2
1955762080176595081,@Teema017,"@HungerStation SPF

@Ebtesam__2023 
#هنقرستيشن",Wed Aug 13 22:43:10 +0000 2025,0,0,0
1955760576438686171,@az04332,@HungerStation تم,Wed Aug 13 22:37:12 +0000 2025,0,0,0
1955760327599251509,@MHSH43,@HungerStation خاااتاص,Wed Aug 13 22:36:13 +0000 2025,0,0,1
1955760307781165516,@grok,"@HungerStation شكرًا لاستجابتكم. لكن لضمان الشفافية، يُفضل الإفصاح عن الإجراءات علنًا. تذكير: بيع منتجات منتهية الصلاحية مخالف لقوانين هيئة الغذاء والدواء، وقد يستحق الإبلاغ عبر 19999 أو ""بلاغ تجاري"" على 1900.",Wed Aug 13 22:36:08 +0000 2025,0,0,1
1955759869056966945,@grok,"@khaled @bndr55c @aBuSaQr7 @HungerStation @Saudi_TGA @bainah_sa مسؤولية المنتجات المنتهية الصلاحية تقع على البائع (هنقرستيشن هنا)، ويحظر بيعها قانونًا وفق هيئة الغذاء والدواء. أبلغ عبر رقمهم الموحد 19999 أو تطبيق ""بلاغ تجاري"" لوزارة التجارة على 1900 للتحقيق والتعويض.",Wed Aug 13 22:34:23 +0000 2025,0,0,1
1955759796184822060,@az04332,@HungerStation وش السالفه https://t.co/YJXpQLivPT,Wed Aug 13 22:34:06 +0000 2025,0,0,1
1955759379111727400,@j0on111,"@HungerStation SPF  Sun Protection 

@helmhe111 
 
#هنقرستيشن 
#قبل_الكل",Wed Aug 13 22:32:26 +0000 2025,0,0,0
1955759322740502629,@khaled,@bndr55c @aBuSaQr7 @HungerStation @grok @Saudi_TGA مالك إلا رفع شكوى للأسف. منتجات منتهية التاريخ مسوولية من؟ @bainah_sa  @grok,Wed Aug 13 22:32:13 +0000 2025,0,0,2
1955759054728339948,@TalBwd43375,@HungerStation هذا ردهم في اقرب وقت https://t.co/9nCq8sd31N,Wed Aug 13 22:31:09 +0000 2025,0,0,0
1955758995739959622,@bndr55c,"@aBuSaQr7 @HungerStation @grok حل مشكله انتهاء تاريخ صلاحيته؟
@Saudi_TGA @khaled",Wed Aug 13 22:30:55 +0000 2025,0,0,1
1955757927312056334,@TalBwd43375,@HungerStation للرسلتك من المغرب ولا رديتو,Wed Aug 13 22:26:40 +0000 2025,0,0,0
1955757582917808222,@MHSH43,@HungerStation خااص,Wed Aug 13 22:25:18 +0000 2025,0,0,0
1955757288289132741,@aBuSaQr7,"الإخوة الكرام المسئولين عن @HungerStation  
قبل قليل طلبت من هنقرستيشن ماركت 
وعند وصول المنتج تبين لي إنتهاء تاريخ صلاحيته 
من المسئول عن ذلك ..؟ علماً بأن المنتج من قسم الأطعمة ، وقد يسبب ضرر على صحة الإنسان 
لو لم يتم إكتشافه من قبلي ..
@mcgovsa_care  
@MCgovSA  
#هنقرستيشن",Wed Aug 13 22:24:08 +0000 2025,1,1,4
1955757281351753943,@TalBwd43375,@HungerStation نصابين الحين الكم ٨٤ ساعه,Wed Aug 13 22:24:06 +0000 2025,0,0,2
1955756503807185134,@MHSH43,@HungerStation خاص ضروري,Wed Aug 13 22:21:01 +0000 2025,0,0,1
1955752293409939802,@Noorha_155,"@HungerStation SPF

تم … يارب ارزقني وانت خير الرازقين 
@FAisL922 
..",Wed Aug 13 22:04:17 +0000 2025,0,0,0
1955752255682175456,@Noorha_155,"@HungerStation SPF

تم … يارب ارزقني وانت خير الرازقين 
@MHmdM55",Wed Aug 13 22:04:08 +0000 2025,0,0,0
1955750513653506216,@N7w7i,@HungerStation طلبت من الساعه ١١ وماجاني 💔ومقر الغيه !!!!!,Wed Aug 13 21:57:13 +0000 2025,0,0,1
1955750478215594344,@saram245,@HungerStation مساء النور طلبي وصلني ناقص اكلم مين !!!!!,Wed Aug 13 21:57:04 +0000 2025,0,1,1
1955747156075196721,@s3d_rashed,"@abo_ghazi1991 انت متخيل ؟
ابوغازي منبطح في مجلسهم بسروال وفانيلة واكيد طالب من هنقرستيشن بيتزا والا برغر جالس ينتقد خطوة عودة رجل يدعم بمئات الملايين 
هذه الصورة النمطية اللي جت براسي يوم قريت تغريدتك اللي خاتمها بحكمة انيشتاين",Wed Aug 13 21:43:52 +0000 2025,0,1,0
1955746702851186778,@ms_ha332,"@HungerStation SPF

تم … يارب ارزقني وانت خير الرازقين 
@raneem_3x",Wed Aug 13 21:42:04 +0000 2025,0,0,0
1955744296365342788,@naeema5551,@HungerStation تم خصم مبلغ اشتراك سنوي وانا لم اطلب ذلك منكم ، اردت الطلب من المطعم، كيف استطيع استرجاع المبلغ المخصوم ؟ مو معقول اضغط ع دفع المبلغ لطلب المطعم وينسحب ع الاشتراك!!,Wed Aug 13 21:32:30 +0000 2025,0,1,0
1955743184425795814,@GgUiu67109347,"@HungerStation السلام عليكم ورحمة الله وبركاته 
أهلا والله هنقرستيشن 

الصراحة عندي لكم عتب كبير!!

 انا ساكن في الشمهانية. وهي تابعه لصامطة و انتم توصلون ل صامطه وقريبه مرررره منها، وماتوصلون في الشمهانية ولي تقريبا سنة وشوي اطالب بالتوصيل ل الشمهانية مافي فايده 

ياخي تعبت والله",Wed Aug 13 21:28:05 +0000 2025,0,0,2
1955741810510155897,@azzah444474059,"@HungerStation SPF:  Sun Protection Factor

يارب توفيقك🤎

#هنقرستيشن
@draemman9",Wed Aug 13 21:22:38 +0000 2025,0,0,0
1955741263543853106,@mayarstory,"@HungerStation SPF
@az210021
#هنقرستيشن",Wed Aug 13 21:20:27 +0000 2025,0,0,0
1955740500901994682,@huda2024_,@HungerStation توي طلبت من هنقرستيشن من مظبيكم وصلني طلب حار ولذيذ وتوصيلزمجاني شكرا هنقرستيشن https://t.co/CKom9uDdHi,Wed Aug 13 21:17:25 +0000 2025,0,0,3
1955737625051955670,@17Farheen,@HungerStation So today I ordered some groceries from the HS market and found a live medium-sized cockroach inside the polythene. And the packet containing the onions was torn.☹️☹️ Very disappointed!!,Wed Aug 13 21:06:00 +0000 2025,0,0,1
1955735446710890758,@moone223,"@HungerStation SPF  Sun Protection 
@OHussin62276 
#هنقرستيشن 
#قبل_الكل",Wed Aug 13 20:57:20 +0000 2025,0,0,0
1955733075566191068,@dodoo47o,"@HungerStation SPF

تم … يارب ارزقني وانت خير الرازقين 
@Nora200oo",Wed Aug 13 20:47:55 +0000 2025,0,0,0
1955732378078601675,@al_dh55,@peaceful1188 @HungerStation انا قد صارت معي بس خدمتهم سيئة جدا جدا ولا يحلون مشاكلهم ولا يردون بعد,Wed Aug 13 20:45:09 +0000 2025,0,0,0
1955731545781887152,@al_dh55,@HungerStation والله خدمتكم وتطبيقكم سيء جدا في التعامل مع العميل وحسبي الله ونعم الوكيل وما تردون في الخاص ولا شيء الله لا يسامحكم,Wed Aug 13 20:41:50 +0000 2025,0,0,0
1955731492459700730,@rl9bw,"@HungerStation العمله المعدنية
.
.
👑👑👑
@ami_4t",Wed Aug 13 20:41:38 +0000 2025,0,0,0
1955730641137623109,@Mrw7_2,"A storm, you fool you, 👨‍🎓🤎👹.
▬تطبىق▬شقردى▬مٕستر▬مٕندوٕب▬جأهز▬ذا▬شفز▬هنقر▬ستىشن▬مٕسترمٕندوٕب▬نىنجأ▬كىتأ▬لأؤل▬مرة▬أؤل▬طلب▬هنقرستىشن▬مرسؤل▬تؤصىل▬مجأنى▬جىنى▬جنى▬ألسعؤدىة▬ https://t.co/o8tstznMIU",Wed Aug 13 20:38:15 +0000 2025,0,0,0
1955730343400759666,@moadnoor141,@HungerStation لم يتم هل المشلكة ابدا ارجو حل المشكلة مع اني ارسل لكم في الايميل ولا في حل واضح https://t.co/a9TnXouash,Wed Aug 13 20:37:04 +0000 2025,0,0,0
1955727449301426511,@al_dh55,@HungerStation اكلمكم ما تردون حسبي الله ونعم الوكيل,Wed Aug 13 20:25:34 +0000 2025,0,0,0
1955727025424970080,@al_dh55,"@HungerStation والله العظيم الخدمه في ذا التطبيق مر سيئه جدا 
انا طلبت من المطعم حبه مظبي مع الرز و واحد قرصان و2 ببسي
جاني الطلب بس نص حبه وبدون قرصان وبدون ببسي اقول للمندوب الطلب غلط يقول كل الدعم اكلم الدعم يقول ما نقدر نعوضك واعذرنا بس ما اقول الا حسبي الله ونعم الوكيل",Wed Aug 13 20:23:53 +0000 2025,0,0,2
1955725769361047601,@importanto_man,@HungerStation أكيد بيجيكم شيء ناقص,Wed Aug 13 20:18:53 +0000 2025,0,0,1
1955725687832150138,@importanto_man,"@HungerStation خدمة سيئة جدا جدا
كل طلبات الرومانسية لازم شيء ناقص
الكنافة ولامرة وصلت مع شيرة والشطة ماتجي مع الأكل وكلمت خدمة العملاء ونوعدك نحسن تجربتك 
طيب أنا صارت لي المشكلة مرات كثيرة بس توني أتكلم!!
على الأقل عوضوني وعدوني بتحسين التجربة.",Wed Aug 13 20:18:34 +0000 2025,0,0,0
1955724897751011336,@Abokhaled__x,@HungerStation افشل شركه ٤ ايام تواصل ولا يردون ساحبين الفلوس وملغين الطلب ولا يتجاوبون,Wed Aug 13 20:15:25 +0000 2025,0,0,1
1955724403087413313,@umleyan24326,@HungerStation السلام عليكم أنا طلبت بمبلغ وانسحب لكن انحذف الطلب من التطبيق ولم يتم إرجاع المبلغ,Wed Aug 13 20:13:27 +0000 2025,0,1,1
1955723999138185449,@msn14302009hot1,@HungerStation تقييمي للهنقرسايشن في المصداقيه لايساوي شيء,Wed Aug 13 20:11:51 +0000 2025,0,0,0
1955723139486220510,@100edab,"@HungerStation الجواب هو: SPF
.

@shwwq1445",Wed Aug 13 20:08:26 +0000 2025,0,0,0
1955721911666651610,@Mona16142171,"@HungerStation الجواب هو: SPF

#هنقرستيشن 

@NAJM_32 

يارب توفيقك 🤲",Wed Aug 13 20:03:33 +0000 2025,0,0,0
1955721880704295087,@8vip0,"@HungerStation SPF: Sun Protection Factor

يارب توفيقك 💛💙

#هنقرستيشن
@noody_6n https://t.co/iEYpbxdq2b",Wed Aug 13 20:03:26 +0000 2025,0,0,0
1955721830183907487,@8vip0,"@HungerStation SPF: Sun Protection Factor

يارب توفيقك 💛💙

#هنقرستيشن
@anosh_2a https://t.co/O9WqUC9zIV",Wed Aug 13 20:03:14 +0000 2025,0,0,0
1955721489451225550,@_AliAsseeri,"@HungerStation السلام عليكم ورحمة الله 
هناك مبلغ مالي لم يسترد من طلب تم إلغاءه",Wed Aug 13 20:01:53 +0000 2025,0,0,0
1955720932502217193,@msn14302009hot1,"@HungerStation مع الاسف تواصلت مع الهنقرستيشن 
واغطوني رد مااشفاغليلي",Wed Aug 13 19:59:40 +0000 2025,0,0,0
1955720447934288300,@boody81a,@HungerStation لم يتم حل مشكلتي 🔴🔴🔴🔴🔴🔴🔴🔴🔴🔴🔴🔴🔴🔴🔴🔴🔴🔴🔴🔴🔴🔴🔴🔴🔴🔴🔴🔴🔴🔴🔴🔴🔴🔴🔴🔴🔴🔴🔴🔴🔴🔴🔴🔴🔴🔴🔴🔴🔴🔴🔴🔴🔴🔴🔴🔴🔴🔴🔴🔴🔴🔴🔴🔴🔴🔴🔴🔴🔴🔴🔴❤️,Wed Aug 13 19:57:44 +0000 2025,0,0,0
1955719590865985873,@Salwa0927,@HungerStation حصلت مشكله ولا احد حله لي,Wed Aug 13 19:54:20 +0000 2025,0,0,0
1955719217891692874,@tryyingmyybest,مين زيي يكره هنقرستيشن,Wed Aug 13 19:52:51 +0000 2025,0,0,0
1955719155618894177,@FHasan88,@HungerStation للاسف ما زال الاجانب يقومون بالتوصيل وبطريقة منفرة جدا,Wed Aug 13 19:52:36 +0000 2025,0,0,0
1955719102783271033,@tryyingmyybest,@HungerStation ردوا خاص,Wed Aug 13 19:52:24 +0000 2025,0,0,0
1955718286202609964,@sghs9das,"@HungerStation SPF
👍👍👍
@cocll7",Wed Aug 13 19:49:09 +0000 2025,1,1,0
1955718033801912664,@Noura1999AA,"@HungerStation الجواب هو: 
.
SPF
.

@RareJewel777",Wed Aug 13 19:48:09 +0000 2025,0,0,0
1955716328909680648,@msn14302009hot1,"@HungerStation مع الاسف طلبت طلب  
من هنقرستيشن وماوصلني بحجة عدم وجود تغطية شبكه بموقعي وفقد الاتصال وللان ماردوالي المبلغ ٢٠٠ ريال ايش رايكم ياجماعه",Wed Aug 13 19:41:22 +0000 2025,0,0,1
1955714971423154473,@24_iee2,@HungerStation اسوء تطبيق,Wed Aug 13 19:35:59 +0000 2025,0,0,0
1955712548356952262,@Jana10172138,@HungerStation مصر ام الدنيا ♥️,Wed Aug 13 19:26:21 +0000 2025,0,0,0
1955712346782830848,@ryham650,"@HungerStation ،
..
.
SPF:  Sun Protection Factor

#هنقرستيشن
@m__asuil",Wed Aug 13 19:25:33 +0000 2025,0,0,0
1955712276893229079,@Jana10172138,"@HungerStation SPF – Sun Protection  Factor
@Sara2",Wed Aug 13 19:25:16 +0000 2025,0,0,0
1955711733328125973,@a_8llil,"هنقرستيشن بالغوااااا
سلاماتتتتت ساعه احاول اطلب",Wed Aug 13 19:23:07 +0000 2025,0,0,0
1955710690951299459,@Shoug093,"@HungerStation يارب توفيقك💛🤎

#هنقرستيشن
@Abrar665466",Wed Aug 13 19:18:58 +0000 2025,0,0,0
1955707326108737830,@27imanal,"@HungerStation SPF

تم … يارب ارزقني وانت خير الرازقين 
@draemman9",Wed Aug 13 19:05:36 +0000 2025,0,0,0
1955707145783066887,@lilil__76,@HungerStation سلام عليكم عندي مشكله بسجل مندوب ورافض يسجل,Wed Aug 13 19:04:53 +0000 2025,0,0,1
1955706971371245775,@AlsharyffA,@HungerStation كيف اتواصل معكم الرقم هذا مقفل 920010177,Wed Aug 13 19:04:11 +0000 2025,0,0,0
1955705939115352500,@a7xzz7,@HungerStation توكلو بس كيتا عم الكل,Wed Aug 13 19:00:05 +0000 2025,0,0,0
1955703767145255048,@Ajb252ajb,"@HungerStation SPF

تم … يارب ارزقني وانت خير الرازقين 
@lavender_525",Wed Aug 13 18:51:27 +0000 2025,0,0,0
1955702912576884885,@pearrrl_5,@HungerStation أنا قمت  بطلب امس وتم خصم المبلغ من حسابي، ولكن لم يتم توصيل الطلب ولم أتلقى أي اتصال من المندوب. أرجو التوضيح وحل المشكلة أو إعادة المبلغ في أسرع وقت,Wed Aug 13 18:48:04 +0000 2025,0,0,0
1955701136754639041,@sm_m112,"@HungerStation 
كيف التواصل معكم مو رافض يطلع لي شي بالمواقع",Wed Aug 13 18:41:00 +0000 2025,0,0,0
1955701097747669441,@majdialsumairi,@soso343111 @HungerStation اكيد يجي ناقص لي ماسكين التطبيقات تستر وعماله سائبة المفروض  لازم يكون في اتحاد كامل من قبل المطعم و شركات التطبيقات والمواطنين الحكومه ماقصرت مو مستوعب الاسم عيده الشهري ويجي باكستاني بساري مدري كيف استلم الطلب من المطعم وكيف تعامل مع التطبيق وكيف جاته الجرة انه يدق الباب,Wed Aug 13 18:40:51 +0000 2025,0,0,1
1955700679034478817,@sm_m112,"@HungerStation 
طلبت منكم واخذتو فلوسي الي بالصرافه والطلب إلغاء ليس",Wed Aug 13 18:39:11 +0000 2025,0,0,1
1955699543502168439,@soso343111,@HungerStation @mr2759661 وصلني طلبي ناقص، وخدمة العملاء كانت سيئة جداً! بدلاً من حل المشكلة أو تعويضي، تم إغلاق الشكوى بدون أي إجراء. هذا تجاهل واضح لحقوق العميل ومخالفة لأنظمة حماية المستهلك. أطالب بحل عاجل وتعويض فوري، وإلا سأرفع شكوى رسمية للجهات المختصة.,Wed Aug 13 18:34:40 +0000 2025,0,0,0
1955697901134385389,@soso343111,@HungerStation @majdialsumairi وصلني طلبي ناقص، وخدمة العملاء كانت سيئة جداً! بدلاً من حل المشكلة أو تعويضي، تم إغلاق الشكوى بدون أي إجراء. هذا تجاهل واضح لحقوق العميل ومخالفة لأنظمة حماية المستهلك. أطالب بحل عاجل وتعويض فوري، وإلا سأرفع شكوى رسمية للجهات المختصة.,Wed Aug 13 18:28:09 +0000 2025,0,0,1
1955696014037270572,@bfssdghbsdb33,@HungerStation كويس,Wed Aug 13 18:20:39 +0000 2025,0,0,0
1955691721750200783,@majdialsumairi,@HungerStation الي صار موضوع فيه خرق أمني وتستر وتلاعب على الانظمه وقوانين الدوله .,Wed Aug 13 18:03:36 +0000 2025,0,0,0
1955691700287873527,@dd_e66,@HungerStation ممكن تحلون مشكلتي!!؟,Wed Aug 13 18:03:31 +0000 2025,0,0,0
1955691390085611938,@TalBwd43375,@Qoap13 @HungerStation نفسي إلى صار معايه ومعطني علبه تالفه اخذ حقهم كامل وحق الناس ناقص,Wed Aug 13 18:02:17 +0000 2025,0,0,0
1955691260842246187,@soso343111,@HungerStation خدمه العملاء سيئه والمناديب اسوء الطلب وصل ناقص وتم رفع شكرا  ولم يتخذ الاجراء تم فتح 2 شكوى بدون فايده وتم اغلاقها ارجو التواصل الان او سيتم تصعيدها لهيئه الاتصالات,Wed Aug 13 18:01:46 +0000 2025,0,0,0
1955691090301927530,@TalBwd43375,"@HungerStation رجعو حق الناس لكم يومين   
اقرب وقت يومن",Wed Aug 13 18:01:05 +0000 2025,0,0,0
